datetime,002415,600867,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,0.0,100000.0,0.0,100000.0,,,
2018-09-28,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-27,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-26,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-25,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-21,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-20,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-19,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-18,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-17,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-14,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-13,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-12,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-11,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-10,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-07,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-06,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-05,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-04,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-03,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-31,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-30,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-29,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-28,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-27,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-24,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-23,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-22,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-21,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-20,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-17,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-16,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-15,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-14,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-13,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-10,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-09,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-08,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-07,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-06,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-03,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-02,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-01,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-31,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-30,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-27,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-26,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-25,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-24,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-23,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-20,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-19,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-18,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-17,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-16,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-13,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-12,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-11,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-10,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-09,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-06,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-05,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-04,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-03,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-02,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
